,img_name,image_id,image_seed,slider_1,slider_2,slider_3,slider_4,pred_release,slider_value_sum
6561,seed_200_var_1.png,1,200,-1,-1,-1,-1,0.950660348,4
6562,seed_200_var_2.png,2,200,-1,-1,-1,-0.75,0.950041175,3.75
6563,seed_200_var_3.png,3,200,-1,-1,-1,-0.5,0.946395993,3.5
6564,seed_200_var_4.png,4,200,-1,-1,-1,-0.25,0.94827342,3.25
6565,seed_200_var_5.png,5,200,-1,-1,-1,0,0.950967848,3
6566,seed_200_var_6.png,6,200,-1,-1,-1,0.25,0.957257807,3.25
6567,seed_200_var_7.png,7,200,-1,-1,-1,0.5,0.96321857,3.5
6568,seed_200_var_8.png,8,200,-1,-1,-1,0.75,0.962420285,3.75
6569,seed_200_var_9.png,9,200,-1,-1,-1,1,0.96328795,4
6570,seed_200_var_10.png,10,200,-1,-1,-0.75,-1,0.948504627,3.75
6571,seed_200_var_11.png,11,200,-1,-1,-0.75,-0.75,0.945188999,3.5
6572,seed_200_var_12.png,12,200,-1,-1,-0.75,-0.5,0.943555355,3.25
6573,seed_200_var_13.png,13,200,-1,-1,-0.75,-0.25,0.94703269,3
6574,seed_200_var_14.png,14,200,-1,-1,-0.75,0,0.94932127,2.75
6575,seed_200_var_15.png,15,200,-1,-1,-0.75,0.25,0.952213109,3
6576,seed_200_var_16.png,16,200,-1,-1,-0.75,0.5,0.967071772,3.25
6577,seed_200_var_17.png,17,200,-1,-1,-0.75,0.75,0.972873867,3.5
6578,seed_200_var_18.png,18,200,-1,-1,-0.75,1,0.967605531,3.75
6579,seed_200_var_19.png,19,200,-1,-1,-0.5,-1,0.943349898,3.5
6580,seed_200_var_20.png,20,200,-1,-1,-0.5,-0.75,0.941314399,3.25
6581,seed_200_var_21.png,21,200,-1,-1,-0.5,-0.5,0.940793812,3
6582,seed_200_var_22.png,22,200,-1,-1,-0.5,-0.25,0.940820217,2.75
6583,seed_200_var_23.png,23,200,-1,-1,-0.5,0,0.941659808,2.5
